APP_Libelle_etablissement,Code_postal,Libelle_commune,Synthese_eval_sanit,filtre_activite,Latitude,Longitude,Adress_Rue,Adress_Avenue,Adress_Chemin,Adress_Place,Adress_Boulevard,Adress_Route,Adress_quai
MAREE SAINT PIERRE,69003,Lyon 3e  Arrondissement,Satisfaisant, Autres,45.763044,4.868758,1,0,0,0,0,0,0
FROMAGERIE MICHELIN FABRICE,25160,Saint-Point-Lac,Très satisfaisant, Lait et produits laitiers,46.813241,6.302619,1,0,0,1,0,0,0
CHEZ MARIE,84120,Pertuis,Très satisfaisant, Autres,43.703424,5.497407,1,0,0,0,0,1,0
TABAC PRESSE BALTAR PEREIRA,81210,Lacrouzette,Satisfaisant, Autres,43.663724,2.347825,1,0,0,0,0,0,0
MAISON COTTEIDIN,42220,Bourg-Argental,Urgent_Améliorer, Autres,45.296308,4.560099,0,0,0,1,0,0,0
PIERRON,55200,Commercy,Satisfaisant, Viandes et produits carnés,48.760759,5.601851,1,0,0,0,0,1,0
LA FERME DU CHAPON ROUGE,62140,Chériennes,Satisfaisant, Abattoirs,50.314169,2.046071,1,0,0,0,0,0,0
S F S,62142,Le Wast,Très satisfaisant, Autres,50.746822,1.802504,1,0,0,0,0,0,0
C C I DES COTES D'ARMOR,22430,Erquy,Satisfaisant, Produits de la mer et d'eau douce,48.636196,-2.469577,1,0,0,0,0,0,0
CREUZET AGNES,71420,Ciry-le-Noble,Très satisfaisant, Lait et produits laitiers,46.594429,4.290634,0,0,1,0,0,0,0
GAUTHIER LUCILE,76200,Dieppe,Très satisfaisant, Produits de la mer et d'eau douce,49.919766,1.084789,0,0,0,0,0,0,0
PROLAIDIS,62200,Saint-Martin-Boulogne,Très satisfaisant, Transport et entreposage de denrées alimentaires,45.88368247734546,1.8146273876131076,1,0,0,0,0,0,0
FROMAGERIE SAINTE GODELEINE,62720,Wierre-Effroy,Très satisfaisant, Lait et produits laitiers,50.788905,1.742248,1,0,0,0,0,0,0
FROMAGERIE DE JUCHY,77650,Lizines,Satisfaisant, Lait et produits laitiers,48.527205,3.177948,0,0,0,0,0,0,0
CARREFOUR,04990,Digne-les-Bains,Satisfaisant, Autres,44.076921,6.189239,1,0,0,0,0,1,0
SUD MER,34110,Frontignan,Très satisfaisant, Produits de la mer et d'eau douce,43.437309,3.70919,0,1,0,0,0,0,0
BOUCHERIE-CHARCUTERIE VIDAS,63270,Vic-le-Comte,Urgent_Améliorer, Autres,45.663286,3.208032,1,0,0,0,1,0,0
PORC 71,71300,Montceau-les-Mines,Satisfaisant, Viandes et produits carnés,46.676823,4.358294,0,0,0,0,0,0,0
BIDAN DOMINIQUE,22380,Saint-Cast-le-Guildo,Très satisfaisant, Produits de la mer et d'eau douce,48.63871,-2.254672,1,0,0,0,0,0,0
LA BODEGA DES PYRENEES,64490,Accous,Très satisfaisant, Viandes et produits carnés,42.977309,-0.606868,1,0,0,0,0,0,0
LES VIVIERS DE BASSINIC,29880,Plouguerneau,Très satisfaisant, Produits de la mer et d'eau douce,48.623715,-4.509418,0,0,0,0,0,0,0
SUSHI MARKET,51530,Pierry,Très satisfaisant, Autres,49.024864,3.944009,1,0,0,0,0,0,0
OLIVIER HANDAYE,22330,Le Mené,Très satisfaisant, Viandes et produits carnés,48.275523,-2.583167,1,0,0,0,0,1,0
SOCIETE BERNARD,56500,Moréac,Satisfaisant, Viandes et produits carnés,47.895122,-2.82959,1,0,0,0,0,0,0
MAINJOLLE,16500,Confolens,Très satisfaisant, Viandes et produits carnés,46.024567,0.67093,0,1,0,0,0,0,0
SOCIETE BERNARD,56500,Moréac,Satisfaisant, Viandes et produits carnés,47.895122,-2.82959,1,0,0,0,0,0,0
HCS,70300,Froideconche,Satisfaisant, Viandes et produits carnés,47.817178,6.39639,0,0,0,0,0,0,0
LES VIVIERS DE BASSINIC,29880,Plouguerneau,Très satisfaisant, Produits de la mer et d'eau douce,48.623715,-4.509418,0,0,0,0,0,0,0
HCS,70300,Froideconche,Satisfaisant, Viandes et produits carnés,47.817178,6.39639,0,0,0,0,0,0,0
AU PETIT BON,75008,Paris 8e  Arrondissement,Très satisfaisant, Autres,48.877915,2.326471,1,0,0,0,0,0,0
DUBROCA CEDRIC,33470,Gujan-Mestras,Satisfaisant, Produits de la mer et d'eau douce,44.642417,-1.072437,1,0,0,0,0,0,0
SOCIETE BERNARD,56500,Moréac,Satisfaisant, Transport et entreposage de denrées alimentaires,47.895122,-2.82959,1,0,0,0,0,0,0
LUTTENSCHLAGER CECILE - LA FERME DU CRABE,09110,Orgeix,Très satisfaisant, Lait et produits laitiers,42.708791,1.863664,1,0,0,0,0,0,0
HCS,70300,Froideconche,Très satisfaisant, Autres,47.817178,6.39639,0,0,0,0,0,0,0
GAEC DU VAL DE GROSNE,69860,Deux-Grosnes,Très satisfaisant, Œufs et ovoproduits,46.241212,4.564593,0,0,1,0,0,0,0
KERMENE,22330,Le Mené,Très satisfaisant, Abattoirs,48.280159,-2.520294,0,0,0,0,0,0,0
GAEC PELLISSIER,63970,Saulzet-le-Froid,Satisfaisant, Lait et produits laitiers,45.634379,2.889428,1,0,0,0,0,0,0
KERMENE,22330,Le Mené,Très satisfaisant, Viandes et produits carnés,48.280159,-2.520294,0,0,0,0,0,0,0
LES CHARCUTERIES DE LA TRAPPE,50480,Sainte-Mère-Église,Très satisfaisant, Viandes et produits carnés,49.380888,-1.345061,1,0,0,0,0,0,0
SYCINSKI EMERIK,22380,Saint-Cast-le-Guildo,Très satisfaisant, Produits de la mer et d'eau douce,48.63871,-2.254672,1,0,0,0,0,0,0
ALVIDIS S A,94535,Rungis,Très satisfaisant, Viandes et produits carnés,48.755396,2.365585,0,0,0,0,0,0,0
AU PAIN DES BOIS,75015,Paris 15e  Arrondissement,Satisfaisant, Autres,48.83751,2.285139,1,0,0,0,0,0,0
GOUSSEAU GUILLAUME,78580,Les Alluets-le-Roi,Satisfaisant, Œufs et ovoproduits,48.911833,1.918908,1,0,0,0,0,0,0
GALLIANCE INDUSTRIE SEVRIENNE,79250,Nueil-les-Aubiers,Très satisfaisant, Viandes et produits carnés,46.929516,-0.578277,1,0,0,0,0,0,0
INTERMARCHE,06000,Nice,Satisfaisant, Autres,43.708213,7.260132,1,0,0,0,0,0,0
GOUZER HENRI,56340,Carnac,Satisfaisant, Produits de la mer et d'eau douce,47.580584,-3.102345,1,0,0,0,0,0,0
GAEC CASTAING,64260,Aste-Béon,Très satisfaisant, Lait et produits laitiers,43.037533,-0.419837,1,0,0,0,0,0,0
L'AUDACE DU GOUT,45800,Saint-Jean-de-Braye,Satisfaisant, Produits de la mer et d'eau douce,47.91971,1.967453,1,0,0,0,0,0,0
SYCINSKI EMERIK,22380,Saint-Cast-le-Guildo,Très satisfaisant, Produits de la mer et d'eau douce,48.63871,-2.254672,1,0,0,0,0,0,0
EUROSALMON,69220,Belleville-en-Beaujolais,Satisfaisant, Produits de la mer et d'eau douce,46.119518,4.723308,0,0,1,0,0,0,0
LES FEES DU FRIGO,31240,L'Union,Satisfaisant, Transport et entreposage de denrées alimentaires,45.88368247734546,1.8146273876131076,0,0,0,0,0,0,0
ESAT LES ATELIERS D'ETRAN,76370,Martin-Église,Satisfaisant, Autres,49.908046,1.109966,1,0,0,0,0,0,0
STEF TRANSPORT CHATEAUBOURG,35113,Domagné,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.091344,-1.426745,1,0,0,0,0,0,0
INTERMARCHE,88140,Contrexéville,Satisfaisant, Autres,48.200744,5.84359,1,0,0,0,0,1,0
GRAND FRAIS,83400,Hyères,Très satisfaisant, Autres,43.113265,6.110778,1,0,0,0,0,1,0
LES COQUILLAGES DU VEILLON,85440,Talmont-Saint-Hilaire,Satisfaisant, Produits de la mer et d'eau douce,46.443255,-1.66652,0,0,0,0,0,0,0
GELAE,76340,Foucarmont,Très satisfaisant, Viandes et produits carnés,49.850912,1.56787,1,0,0,0,0,1,0
SILL,29860,Plouvien,Très satisfaisant, Produits de la mer et d'eau douce,48.502241,-4.49992,1,0,0,0,0,0,0
PLAT'O REPAS,60280,Margny-lès-Compiègne,Satisfaisant, Autres,49.427183,2.815871,1,0,0,0,0,0,0
SILL,29860,Plouvien,Très satisfaisant, Viandes et produits carnés,48.502241,-4.49992,1,0,0,0,0,0,0
LA BODEGA DES PYRENEES,64490,Accous,Très satisfaisant, Transport et entreposage de denrées alimentaires,42.977309,-0.606868,1,0,0,0,0,0,0
CANA PECHE,83400,Hyères,Très satisfaisant, Produits de la mer et d'eau douce,42.995095,6.227957,1,0,0,0,0,0,0
MONSIEUR M,35132,Vezin-le-Coquet,Urgent_Améliorer, Autres,48.11301,-1.750226,1,0,0,0,0,0,0
KHABER FARIDA,75006,Paris 6e  Arrondissement,Très satisfaisant, Autres,48.851813,2.336471,1,0,0,0,0,0,0
S.M.B,33800,Bordeaux,Satisfaisant, Autres,44.827431,-0.55785,1,0,0,0,0,0,0
LA FERME DU CHARMELET,71370,Baudrières,Satisfaisant, Abattoirs,46.670504,4.985221,1,0,0,0,0,0,0
ABATTOIR DES HAUTES VALLEES,05600,Guillestre,Satisfaisant, Abattoirs,44.663499,6.645215,1,0,0,0,0,1,0
ABATTOIR DES HAUTES VALLEES,05600,Guillestre,Très satisfaisant, Abattoirs,44.663499,6.645215,1,0,0,0,0,1,0
HENNART FRERES,62220,Carvin,Satisfaisant, Lait et produits laitiers,50.477943,2.971658,1,0,0,0,0,0,0
VDS,85440,Talmont-Saint-Hilaire,Satisfaisant, Autres,46.454191,-1.598868,1,0,1,0,0,0,0
GILLOT SAS,61220,Saint-Hilaire-de-Briouze,Très satisfaisant, Lait et produits laitiers,48.708865,-0.300897,0,0,0,0,0,0,0
GAEC RECONNU DES COMBES,19270,Ussac,Très satisfaisant, Lait et produits laitiers,45.180235,1.520039,0,0,1,0,0,0,0
FLICK PASCAL,67250,Memmelshoffen,Très satisfaisant, Œufs et ovoproduits,48.960666,7.870526,1,0,0,0,0,0,0
ABC PEYRAUD,94589,Rungis,Satisfaisant, Lait et produits laitiers,48.759355,2.357515,1,0,0,0,0,0,0
PLUME 2 TOUT,03600,Malicorne,Satisfaisant, Abattoirs,46.303501,2.731756,1,0,0,0,0,0,0
ELIVIA,51300,Marolles,Très satisfaisant, Viandes et produits carnés,48.72238,4.613013,1,0,0,0,0,0,0
SARL HEMAN,45360,Pierrefitte-ès-Bois,Satisfaisant, Œufs et ovoproduits,47.509038,2.707931,1,0,0,0,0,0,0
ASK.SUPERMARKET,60300,Senlis,Satisfaisant, Autres,49.206129,2.570757,0,1,0,1,0,0,0
SEM ABATTAGE & DECOUPE (SEMAD) DE LA JEUNE LOIRE,43200,Yssingeaux,Très satisfaisant, Abattoirs,45.145283,4.114987,1,0,0,0,0,0,0
STC,38070,Saint-Quentin-Fallavier,Très satisfaisant, Transport et entreposage de denrées alimentaires,45.646932,5.123782,1,0,0,0,0,0,0
SEM ABATTAGE & DECOUPE (SEMAD) DE LA JEUNE LOIRE,43200,Yssingeaux,Très satisfaisant, Abattoirs,45.145283,4.114987,1,0,0,0,0,0,0
ETABLISSEMENTS NEAU,78100,Saint-Germain-en-Laye,Satisfaisant, Autres,48.897351,2.090099,1,0,0,0,0,0,0
ESCARGOTS PETIT PRE,49140,Cornillé-les-Caves,Satisfaisant, Produits de la mer et d'eau douce,45.88368247734546,1.8146273876131076,1,0,1,0,0,0,0
L.D.B,17110,Saint-Georges-de-Didonne,Urgent_Améliorer, Autres,45.602017,-1.001764,1,0,0,0,1,0,0
FERME LA BORIE D'IMBERT,46500,Rocamadour,Satisfaisant, Lait et produits laitiers,44.801386,1.602018,1,0,0,0,0,0,0
THIAULT CHRISTOPHER,22190,Plérin,Très satisfaisant, Produits de la mer et d'eau douce,48.529444,-2.731731,1,0,0,0,0,0,0
CHALEAC THOMAS,07160,Saint-Andéol-de-Fourchades,Très satisfaisant, Lait et produits laitiers,44.861343,4.325042,0,0,0,0,0,0,0
SAVEURS OCEANES,85800,Le Fenouiller,Très satisfaisant, Autres,46.710625,-1.910858,1,0,0,0,0,0,0
MARTY THERESE,64230,Denguin,Très satisfaisant, Œufs et ovoproduits,43.362517,-0.507283,1,0,0,0,0,1,0
ABBAYE LA JOIE NOTRE DAME,56800,Campénéac,Satisfaisant, Autres,47.978259,-2.308187,1,0,0,0,0,0,0
Délice de Halamaitai,98600,Uvea,Très satisfaisant, Autres,-13.287092,-176.178601,0,0,0,0,0,0,0
ABBAYE LA JOIE NOTRE DAME,56800,Campénéac,Satisfaisant, Autres,47.978259,-2.308187,1,0,0,0,0,0,0
BOUCHERIE DALIBON,49150,Baugé-en-Anjou,Urgent_Améliorer, Autres,47.595886,-0.182305,1,0,0,0,0,0,0
LA BASSE COUR A LA VILLE,29930,Pont-Aven,Satisfaisant, Autres,47.856135,-3.746192,1,0,0,0,0,0,0
PRISSEDIS,71960,Prissé,Très satisfaisant, Autres,46.32243,4.743484,1,0,0,0,0,0,0
CARREFOUR EXPRESS,40150,Soorts-Hossegor,Satisfaisant, Autres,43.659191,-1.427227,1,1,0,0,0,0,0
FRANCART ARNAUD,51170,Ville-en-Tardenois,Très satisfaisant, Autres,49.182096,3.802726,1,0,1,0,0,0,0
DE PHALANGE,32170,Aux-Aussat,Satisfaisant, Viandes et produits carnés,43.439912,0.268738,0,0,0,0,0,0,0
ALDI MARCHE,75018,Paris 18e  Arrondissement,Très satisfaisant, Autres,48.884593,2.347293,1,0,0,0,0,0,0
LA ROSE DE MERIEM,93200,Saint-Denis,Satisfaisant, Autres,48.932376,2.354774,1,0,0,1,0,0,0
LA BODEGA DES PYRENEES,64490,Accous,Très satisfaisant, Lait et produits laitiers,42.977309,-0.606868,1,0,0,0,0,0,0
LES CHARCUTERIES DE LUCIE,26240,Saint-Barthélemy-de-Vals,Très satisfaisant, Autres,45.169379,4.87149,1,0,1,0,0,0,0
PORC 71,71300,Montceau-les-Mines,Satisfaisant, Viandes et produits carnés,46.676823,4.358294,0,0,0,0,0,0,0
METRO FRANCE,49124,Saint-Barthélemy-d'Anjou,Très satisfaisant, Produits de la mer et d'eau douce,47.483178,-0.507394,1,0,0,0,0,0,0
EST FRITURE,67590,Wintershouse,Très satisfaisant, Autres,48.792417,7.704161,1,0,0,0,0,0,0
GAEC DE LA SABLONNIERE,35480,Guipry-Messac,Très satisfaisant, Lait et produits laitiers,47.849091,-1.889143,1,0,0,0,0,0,0
EST FRITURE,67590,Wintershouse,Très satisfaisant, Produits de la mer et d'eau douce,48.792417,7.704161,1,0,0,0,0,0,0
EARL OSTREA CULTURA,34340,Marseillan,Satisfaisant, Produits de la mer et d'eau douce,43.318232,3.555658,1,0,0,0,0,0,0
LES GLACES DE L'ARDECHE,07200,Ucel,Satisfaisant, Lait et produits laitiers,44.644209,4.377226,1,0,0,0,0,1,0
GAEC DE LA SABLONNIERE,35480,Guipry-Messac,Très satisfaisant, Lait et produits laitiers,47.849091,-1.889143,1,0,0,0,0,0,0
NUTRIBIO,80600,Doullens,Très satisfaisant, Autres,50.160342,2.330854,1,0,0,0,0,0,0
SOCIETE BERNARD,56500,Moréac,Très satisfaisant, Viandes et produits carnés,47.895122,-2.82959,1,0,0,0,0,0,0
LUXSHIKA,75012,Paris 12e  Arrondissement,Très satisfaisant, Autres,48.848565,2.380113,1,0,0,0,0,0,0
VOLAILLES DUMAS PERIGORD NOIR,24290,Aubas,Satisfaisant, Abattoirs,45.074361,1.18538,1,0,0,0,0,0,0
LE PENNEC GWENDAL,22380,Saint-Cast-le-Guildo,Très satisfaisant, Produits de la mer et d'eau douce,48.585054,-2.237649,1,0,0,0,0,0,0
VOLAILLES DUMAS PERIGORD NOIR,24290,Aubas,Très satisfaisant, Viandes et produits carnés,45.074361,1.18538,1,0,0,0,0,0,0
TISSOT,42450,Sury-le-Comtal,Très satisfaisant, Lait et produits laitiers,45.556815,4.183944,1,0,0,0,0,0,0
GAEC CENTRAL MAREE,17390,La Tremblade,Satisfaisant, Produits de la mer et d'eau douce,45.762868,-1.120019,0,0,0,0,0,0,0
FROMAGERIE DU PRE VERDOT,25115,Pouilley-les-Vignes,Satisfaisant, Lait et produits laitiers,47.2577,5.92354,1,0,0,0,0,0,0
NISHITA SHOP,75012,Paris 12e  Arrondissement,Très satisfaisant, Autres,48.846017,2.382515,1,0,0,0,0,0,0
CHARCUTERIE COSME,72000,Le Mans,Satisfaisant, Viandes et produits carnés,48.000829,0.21108,1,1,0,0,0,0,0
SUPER U,04200,Sisteron,Satisfaisant, Autres,44.234892,5.911127,0,0,0,0,0,0,0
SCEA DE L'HAEZEPOEL,59122,Hondschoote,Satisfaisant, Lait et produits laitiers,50.951632,2.609803,0,0,1,0,0,0,0
CHARCUTERIE COSME,72000,Le Mans,Satisfaisant, Transport et entreposage de denrées alimentaires,48.000829,0.21108,1,1,0,0,0,0,0
SARL T & B,93270,Sevran,Satisfaisant, Autres,48.940393,2.519824,1,1,0,0,0,0,0
CHARCUTERIE COSME,72000,Le Mans,Très satisfaisant, Viandes et produits carnés,48.000829,0.21108,1,1,0,0,0,0,0
GROUPEMENT AGRICOLE D EXPLOITATION EN COMMUM AGREE LES CHAMOISES,11330,Lairière,Satisfaisant, Lait et produits laitiers,42.991258,2.558471,0,0,1,0,0,0,0
FOIE GRAS COUDRAY OZBOLT,58220,Donzy,Très satisfaisant, Abattoirs,47.370715,3.123712,1,0,0,0,0,0,0
CARREFOUR,38130,Échirolles,Satisfaisant, Autres,45.1574,5.722967,1,0,0,0,0,0,0
HYPER ROCADE 2,20600,Furiani,Très satisfaisant, Autres,45.88368247734546,1.8146273876131076,1,0,0,0,0,0,0
BETAGAIN,97100,Basse-Terre,Satisfaisant, Autres,15.991337,-61.728413,1,0,1,0,1,0,0
ACCA LABASTIDE D'ARMAGNAC,40240,Labastide-d'Armagnac,Satisfaisant, Abattoirs,43.937103,-0.211642,1,0,0,0,0,0,0
GAEC DES GRANDS PRES,22330,Le Mené,Très satisfaisant, Lait et produits laitiers,48.271675,-2.415418,1,0,0,0,0,0,0
TYGHADOUYN POISSONNERIE,84130,Le Pontet,Très satisfaisant, Autres,43.980366,4.857795,1,0,0,0,0,0,0
RELAIS DEPARTEMENTAL AGRICULTURE ET TOURISME,33000,Bordeaux,Très satisfaisant, Autres,44.849053,-0.57179,1,1,0,0,0,0,0
EARL DU PETRICCIU,20230,Canale-di-Verde,Très satisfaisant, Viandes et produits carnés,42.244888,9.552078,1,0,0,0,0,0,0
GAMBARELLI ANGE-MARIE,20129,Bastelicaccia,Très satisfaisant, Lait et produits laitiers,41.921673,8.824006,1,0,0,0,0,0,0
FROMAGERIE MILLERET,70700,Charcenne,Très satisfaisant, Lait et produits laitiers,47.373831,5.778273,1,0,1,0,0,1,0
LES JAMBONS D'ANTAN,50570,Thèreval,Satisfaisant, Viandes et produits carnés,49.130038,-1.222184,1,0,0,0,0,0,0
CAJOO TECHNOLOGY,75009,Paris 9e  Arrondissement,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.87315,2.34417,1,0,0,0,0,0,0
LA MAISON DE LA TIELLE,34120,Pézenas,Satisfaisant, Autres,43.46183,3.424079,1,1,0,0,0,0,0
SPAR,40150,Soorts-Hossegor,Satisfaisant, Autres,43.6573,-1.429101,1,1,0,0,0,0,0
PARIS MARKET,75018,Paris 18e  Arrondissement,Très satisfaisant, Autres,48.883736,2.338854,1,0,0,0,0,0,0
SARL MAUREL,81700,Puylaurens,Satisfaisant, Viandes et produits carnés,43.566456,2.00002,1,0,0,0,0,0,0
SCEA LIZOT,27160,Mesnils-sur-Iton,Satisfaisant, Abattoirs,48.860412,1.053417,1,0,0,0,0,0,0
SO BOUTARGUE,83570,Cotignac,Très satisfaisant, Produits de la mer et d'eau douce,43.513504,6.154172,0,0,0,0,0,0,0
GUEIFFIER DORIAN,30127,Bellegarde,Très satisfaisant, Œufs et ovoproduits,43.736698,4.516882,1,0,0,0,0,0,0
SA LES GORGES DE L'AVEYRON,12200,Le Bas Ségala,Satisfaisant, Viandes et produits carnés,44.340731,2.133848,1,0,0,0,0,0,0
LA FERME DE SANNOIS,95110,Sannois,Très satisfaisant, Abattoirs,48.963946,2.257711,1,0,0,0,0,0,0
MONT BLANC,50480,Sainte-Mère-Église,Très satisfaisant, Lait et produits laitiers,49.380516,-1.348714,1,0,0,0,0,0,0
MIKERY,70000,Vesoul,Satisfaisant, Autres,47.641574,6.144356,1,0,0,0,0,0,0
INTER LOCATION,49130,Les Ponts-de-Cé,Satisfaisant, Transport et entreposage de denrées alimentaires,47.430758,-0.486575,1,0,0,0,0,0,0
NOLIVIER SAINTE ROSE,97115,Sainte-Rose,Urgent_Améliorer, Abattoirs,16.294426,-61.670114,1,0,0,0,0,0,0
KADEM RAYMOND,85740,L'Épine,Très satisfaisant, Produits de la mer et d'eau douce,46.990423,-2.260554,1,0,0,0,0,1,0
GRAND FRAIS,83500,La Seyne-sur-Mer,Satisfaisant, Autres,43.108974,5.854444,1,1,0,0,0,0,0
GOBRANDS FRANCE,75018,Paris 18e  Arrondissement,Très satisfaisant, Transport et entreposage de denrées alimentaires,48.890058,2.348274,1,0,0,0,0,0,0
CORNILLE,35500,Cornillé,Très satisfaisant, Viandes et produits carnés,48.078398,-1.305113,1,0,1,0,0,0,0
ELIVIA,51300,Marolles,Très satisfaisant, Viandes et produits carnés,48.72238,4.613013,1,0,0,0,0,0,0
MARINE QUALITY,94150,Rungis,Satisfaisant, Produits de la mer et d'eau douce,48.756809,2.351384,1,0,0,0,0,0,1
GAEC DU CEDENOL,12240,Le Bas Ségala,Satisfaisant, Lait et produits laitiers,44.282801,2.151133,0,0,1,0,0,0,0
Y.A.N.T.H.,93450,L'Île-Saint-Denis,Satisfaisant, Autres,48.919183,2.326278,1,0,0,0,1,0,0
FERME DES AYASSES,26400,Vaunaveys-la-Rochette,Très satisfaisant, Viandes et produits carnés,44.77642,5.007296,1,0,0,0,0,1,0
HIRUAK,64600,Anglet,Satisfaisant, Viandes et produits carnés,43.522453,-1.501267,1,0,0,0,0,0,0
SILL,29860,Plouvien,Très satisfaisant, Lait et produits laitiers,48.502241,-4.49992,1,0,0,0,0,0,0
CAP MAREE ATLANTIQUE,44220,Couëron,Satisfaisant, Produits de la mer et d'eau douce,47.247881,-1.679298,1,0,0,0,0,0,0
LA FERME DES TERROIRS,05500,La Fare-en-Champsaur,Très satisfaisant, Viandes et produits carnés,44.676738,6.07045,0,0,1,0,0,0,0
ST JUDIST S.A.,60130,Saint-Just-en-Chaussée,Urgent_Améliorer, Autres,49.506194,2.432673,1,0,0,0,0,0,0
VIANDES A PARTH',79200,Parthenay,Satisfaisant, Viandes et produits carnés,46.646115,-0.232445,1,1,0,0,0,0,0
S3 MARCHE,93150,Le Blanc-Mesnil,Satisfaisant, Autres,48.939701,2.456627,1,1,1,0,0,0,0
KARUKERA OCEAN DISTRIBUTION,97128,Goyave,Urgent_Améliorer, Produits de la mer et d'eau douce,16.134327,-61.579026,1,0,0,0,0,0,0
CENTRE D AIDE PAR LE TRAVAIL,02390,Origny-Sainte-Benoite,Satisfaisant, Abattoirs,49.840734,3.491979,1,1,0,0,0,0,0
GARREC EMMANUEL,29750,Loctudy,Satisfaisant, Produits de la mer et d'eau douce,47.835536,-4.171408,1,0,0,0,0,0,0
ING-BIO,40250,Le Leuy,Très satisfaisant, Œufs et ovoproduits,43.820124,-0.628835,1,0,0,0,0,0,0
GARREC EMMANUEL,29750,Loctudy,Satisfaisant, Produits de la mer et d'eau douce,47.835536,-4.171408,1,0,0,0,0,0,0
JARDINS D'HUITRES,56750,Damgan,Satisfaisant, Produits de la mer et d'eau douce,47.519458,-2.586546,1,0,0,0,0,0,0
SARL GERS BOEUF,32000,Auch,Très satisfaisant, Viandes et produits carnés,43.661774,0.617928,1,0,0,0,0,0,0
GAEC AURENTY,20226,Novella,Très satisfaisant, Lait et produits laitiers,42.562161,8.981737,0,0,1,0,0,0,0
EARL LES LAPINS DES TERRASSES,47200,Marcellus,Très satisfaisant, Abattoirs,44.464397,0.059272,0,0,0,1,0,0,0
SEM ABATTAGE & DECOUPE (SEMAD) DE LA JEUNE LOIRE,43200,Yssingeaux,Très satisfaisant, Abattoirs,45.145283,4.114987,1,0,0,0,0,0,0
EARL LES LAPINS DES TERRASSES,47200,Marcellus,Très satisfaisant, Viandes et produits carnés,44.464397,0.059272,0,0,0,1,0,0,0
JBA,79140,Cirières,Très satisfaisant, Abattoirs,46.845006,-0.602828,1,0,1,0,0,0,0
SARL GERS BOEUF,32000,Auch,Très satisfaisant, Viandes et produits carnés,43.661774,0.617928,1,0,0,0,0,0,0
FUMOIR DE LA POINTE DU RAZ,29770,Audierne,Très satisfaisant, Produits de la mer et d'eau douce,48.033627,-4.574234,0,0,0,0,0,0,0
LES ENTREES DE LA MER,62126,Wimille,Satisfaisant, Produits de la mer et d'eau douce,50.742979,1.625118,1,0,0,0,0,0,0
ABATTOIRS DU PAYS DE SOULE,64130,Mauléon-Licharre,Satisfaisant, Abattoirs,43.22397,-0.883186,0,1,0,0,0,0,0
VALLEGRAIN DISTRIBUTION,28330,Coudray-au-Perche,Satisfaisant, Transport et entreposage de denrées alimentaires,48.230379,0.869187,1,0,0,0,0,0,0
BRUNO SIEBERT,67120,Ergersheim,Satisfaisant, Viandes et produits carnés,48.564076,7.526261,1,0,0,0,0,0,0
STEF,94619,Rungis,Très satisfaisant, Transport et entreposage de denrées alimentaires,45.88368247734546,1.8146273876131076,1,0,0,0,0,0,0
LX FRANCE,94657,Thiais,Satisfaisant, Transport et entreposage de denrées alimentaires,48.750882,2.383987,1,0,0,0,0,0,0
VALLEGRAIN DISTRIBUTION,28330,Coudray-au-Perche,Urgent_Améliorer, Viandes et produits carnés,48.230379,0.869187,1,0,0,0,0,0,0
SAS LAITERIE DU VAL D'ANCENIS,44155,Ancenis-Saint-Géréon,Satisfaisant, Lait et produits laitiers,47.38417,-1.179403,0,0,0,0,0,0,0
DE LA HAUTE BRUYERE,14110,Condé-en-Normandie,Très satisfaisant, Abattoirs,48.890427,-0.542122,1,0,0,0,0,0,0
LES HALLES DE LA GRANDE FONTAINE,88300,Neufchâteau,Très satisfaisant, Autres,48.351485,5.695131,1,1,0,0,0,0,0
LES SALAISONS DE CHARTREUSE,38380,Entre-deux-Guiers,Très satisfaisant, Viandes et produits carnés,45.433749,5.75976,0,0,1,0,0,0,0
EARL COURPRON,17390,La Tremblade,Très satisfaisant, Produits de la mer et d'eau douce,45.768877,-1.134756,1,0,0,0,1,0,0
ETABL GILBERT JOUNEAU ET CIE,95220,Herblay-sur-Seine,Très satisfaisant, Produits de la mer et d'eau douce,49.001174,2.177928,1,0,0,0,0,0,0
DIALY,92000,Nanterre,Satisfaisant, Autres,48.897155,2.196072,0,0,0,0,1,0,0
D.T.D.V.,30100,Alès,Satisfaisant, Viandes et produits carnés,44.143215,4.107183,1,0,0,0,0,0,0
SAVIDIS,27930,Fauville,Satisfaisant, Viandes et produits carnés,49.01736,1.186483,1,0,0,0,0,0,0
ETABLISSEMENTS ARNAUD,73800,Chignin,Très satisfaisant, Transport et entreposage de denrées alimentaires,45.512631,6.006855,1,0,0,0,0,1,0
VOLLY FRANCE,69960,Corbas,Très satisfaisant, Transport et entreposage de denrées alimentaires,45.676644,4.922335,1,1,0,0,0,0,0
DURAND HERVE,18000,Bourges,Très satisfaisant, Autres,47.076622,2.40423,1,0,0,0,0,0,0
UTILE LAPALUD,84840,Lapalud,Très satisfaisant, Autres,44.311302,4.685784,1,1,0,0,0,0,0
PROMOCASH,24100,Bergerac,Très satisfaisant, Transport et entreposage de denrées alimentaires,44.851436,0.482291,1,0,0,0,0,0,0
CO.BE.,81000,Albi,Très satisfaisant, Viandes et produits carnés,43.925203,2.187492,1,0,0,0,0,0,0
