APP_Libelle_etablissement,Code_postal,Libelle_commune,Synthese_eval_sanit,filtre_activite,Latitude,Longitude,Adress_Rue,Adress_Avenue,Adress_Chemin,Adress_Place,Adress_Boulevard,Adress_Route,Adress_quai
MONSIEUR ZAHIR KHARCHI,92320,CHATILLON,Satisfaisant, Autres,48.80724,2.295707,0,0,0,0,0,0,0
HALLES DE SOISY (HALLES DE SOISY),95230,SOISY SOUS MONTMORENCY,Satisfaisant, Autres,48.981616,2.294884,1,1,0,0,0,0,0
LA FRATRIE (LA FRATRIE),92110,CLICHY,Satisfaisant, Autres,48.903639,2.32017,1,0,0,0,1,0,0
FRANKEWITZ TRAITEUR,78990,ELANCOURT,Urgent_Améliorer, Autres,48.786714,1.94746,1,0,0,0,0,0,0
EQUANATIS,80230,SAINT VALERY SUR SOMME,Satisfaisant, Autres,50.185799,1.641399,1,0,0,0,0,0,0
CHAMBOURCY PRESSE (CHEN QINGLIN),78240,CHAMBOURCY,Satisfaisant, Autres,48.905848,2.039342,1,0,0,1,0,0,0
MINOTERIE VULLIERMET (MINOTERIE VULLIERMET),73290,LA MOTTE SERVOLEX,Urgent_Améliorer, Autres,45.591436,5.873779,1,0,0,0,0,0,0
BAYINA BAB,92110,CLICHY,Satisfaisant, Autres,48.904825,2.308603,1,0,0,0,0,0,0
SARL LA MAISON DU BONHEUR,71600,PARAY LE MONIAL,Satisfaisant, Autres,46.468187,4.11774,0,0,1,0,0,0,0
LENOTRE (LENOTRE),92000,NANTERRE,Satisfaisant, Autres,48.880314,2.210251,1,0,0,0,0,0,0
ZOO DE THOIRY (PARC ZOOLOGIQUE DE LOISIRS),78770,THOIRY,Satisfaisant, Autres,48.868055,1.79014,1,0,0,0,0,0,0
SAS MASSA,95110,SANNOIS,Urgent_Améliorer, Autres,48.981266,2.243852,1,0,0,0,0,0,0
PLAISIR ET TRADITION (BP BILLOT),77170,SERVON,Satisfaisant, Autres,48.715751,2.585865,1,0,0,0,0,0,0
MONSIEUR JEREMY DAI,91630,MAROLLES EN HUREPOIX,Satisfaisant, Autres,48.562092,2.299465,1,0,0,0,0,0,0
FRAMMES,95480,PIERRELAYE,Urgent_Améliorer, Autres,49.023081,2.156503,1,0,0,0,0,0,0
NAELANN,29620,PLOUEGAT GUERAND,Très satisfaisant, Autres,48.619692,-3.674239,1,0,1,0,0,0,0
LA TRADITION DE MONTIGNY,78180,MONTIGNY LE BRETONNEUX,Urgent_Améliorer, Autres,48.769905,2.029873,1,0,0,0,0,0,0
ACT ON EAT,78190,TRAPPES,Urgent_Améliorer, Autres,48.764057,1.985167,1,1,0,0,0,0,0
L'EUROPE (PEREIRA),78220,VIROFLAY,Satisfaisant, Autres,48.803977,2.176318,1,1,0,0,0,0,0
